FoodID,FoodGroups,FoodName,Air,Energi,Protein,Lemak,Abu,Karbohidrat,Serat,GulaTotal,Kalsium,Besi,Magnesium,Fosfor,Kalium,Natrium,Seng,Tembaga,Mangan,Selenium,VitaminC,Tiamina,Riboflavin,Niasin,Pantotenat,VitaminB6,FolatTotal,Kolina,VitaminB12,VitaminA-IU,VitaminA-RAE,Retinol,AlphaKaroten,BetaKaroten,BetaKriptosantin,Likopen,ZeaksantinLutein,VitaminE,VitaminD,VitaminD-IU,VitaminK,LemakJenuh,LemakTunggal,LemakGanda,Kolesterol,Source
1189,Sayuran,Kacang polong dapat dimakan pod beku tidak siap,"89,30","42,00","2,80","0,30","0,40","7,20","3,10",,"50,00","2,00","23,00","51,00","192,00","4,00","0,41","0,08","0,24","0,70","22,00","0,06","0,10","0,50","0,72","0,15","40,00",,,"140,00","7,00",,,,,,,,,,,"0,06","0,03","0,13",,USDA
1190,Sayuran,Kacang polong dapat dimakan dimasak direbus dikeringkan dengan garam,"88,91","40,00","3,27","0,23","1,13","6,46","2,80","3,99","42,00","1,97","26,00","55,00","240,00","240,00","0,37","0,08","0,17","0,70","47,90","0,13","0,08","0,54","0,67","0,14","29,00","17,00",,"1.030,00","52,00",,"42,00","597,00",,,"702,00","0,39",,,"25,00","0,04","0,02","0,10",,USDA
1191,Sayuran,Kacang polong dapat dimakan direbus dikeringkan tanpa garam,"88,91","42,00","3,27","0,23","0,54","7,05","2,80","3,99","42,00","1,97","26,00","55,00","240,00","4,00","0,37","0,08","0,17","0,70","47,90","0,13","0,08","0,54","0,67","0,14","29,00","17,00",,"1.030,00","52,00",,"42,00","597,00",,,"702,00","0,39",,,"25,00","0,04","0,02","0,10",,USDA
1192,Sayuran,Kacang polong dapat dimakanpod beku dimasak direbus dikeringkan dengan garam,"86,60","50,00","3,50","0,38","1,09","8,43","3,10","4,82","59,00","2,40","28,00","58,00","217,00","241,00","0,49","0,09","0,28","0,80","22,00","0,06","0,12","0,56","0,86","0,17","35,00","21,00",,"1.311,00","66,00",,"53,00","760,00",,,"893,00","0,47",,,"30,20","0,07","0,04","0,17",,USDA
1193,Sayuran,Kacang polong dapat dimakanpod beku dimasak direbus dikeringkan tanpa garam,"86,60","52,00","3,50","0,38","0,50","9,02","3,10","4,82","59,00","2,40","28,00","58,00","217,00","5,00","0,49","0,09","0,28","0,80","22,00","0,06","0,12","0,56","0,86","0,17","35,00","21,00",,"1.311,00","66,00",,"53,00","760,00",,,"893,00","0,47",,,"30,20","0,07","0,04","0,17",,USDA
1194,Sayuran,Kacang polong hijau (termasuk jenis bayi dan lesuer) kaleng padatan yang dikeringkan tidak siap,"82,29","68,00","4,47","0,80","1,09","11,36","4,90","2,99","23,00","1,18","18,00","67,00","106,00","273,00","0,66","0,11","0,21","1,70","4,20","0,11","0,05","0,98","0,24","0,06","31,00","30,00",,"865,00","43,00",,"9,00","514,00",,,"1.350,00","0,38",,,"36,80","0,14","0,07","0,38",,USDA
1195,Sayuran,Kacang polong hijau beku matang rebus tiriskan dengan garam,"79,52","78,00","5,15","0,27","0,80","14,26","4,50","4,40","24,00","1,52","22,00","77,00","110,00","323,00","0,67","0,11","0,28","1,00","9,90","0,28","0,10","1,48","0,14","0,11","59,00","28,00",,"2.100,00","105,00",,"20,00","1.250,00",,,"2.400,00","0,03",,,"24,00","0,05","0,02","0,13",,USDA
1196,Sayuran,Kacang polong hijau beku matang rebus tiriskan tanpa garam,"79,52","78,00","5,15","0,27","0,80","14,26","4,50","4,40","24,00","1,52","22,00","77,00","110,00","72,00","0,67","0,11","0,28","1,00","9,90","0,28","0,10","1,48","0,14","0,11","59,00","28,00",,"2.100,00","105,00",,"20,00","1.250,00",,,"2.400,00","0,03",,,"24,00","0,05","0,02","0,13",,USDA
1197,Sayuran,Kacang polong hijau beku tidak siap,"79,98","77,00","5,22","0,40","0,78","13,62","4,50","5,00","22,00","1,53","26,00","82,00","153,00","108,00","0,82","0,12","0,34","1,90","18,00","0,26","0,10","1,72","0,55","0,08","53,00","27,00",,"2.058,00","103,00",,"20,00","1.225,00",,,"2.352,00","0,02",,,"27,90","0,07","0,03","0,18",,USDA
1198,Sayuran,Kacang polong hijau kaleng padatan yang dikeringkan dibilas dengan air keran,"81,89","71,00","4,33","0,95","1,01","11,82",,,"24,00","1,09","18,00","65,00","105,00","231,00","0,68","0,11","0,22",,"9,30","0,07","0,04","1,01",,,"30,00",,,,,,,,,,,,,,,"0,17","0,09","0,45",,USDA
1199,Sayuran,Kacang polong hijau kalengan berpengalaman padatan dan cairan,"86,51","50,00","3,09","0,27","0,88","9,25","2,00",,"15,00","1,20","15,00","54,00","122,00","254,00","0,65","0,10","0,27","1,30","11,50","0,10","0,07","0,69","0,09","0,10","29,00",,,"433,00","22,00",,,,,,,,,,,"0,05","0,02","0,13",,USDA
1200,Sayuran,Kacang polong hijau kalengan kemasan reguler padatan dan cairan,"85,13","58,00","3,01","0,48","0,77","10,60","3,30","3,20","20,00","1,29","19,00","63,00","106,00","185,00","0,72","0,10","0,21","1,30","7,80","0,08","0,02","1,00","0,09","0,07","24,00","20,00",,"1.529,00","76,00",,"15,00","910,00",,,"1.747,00","0,02",,,"20,70","0,09","0,04","0,23",,USDA
1201,Sayuran,Kacang polong hijau kalengan tanpa garam padatan dan cairan,"85,92","53,00","3,19","0,30","0,84","9,75","3,30","3,20","18,00","1,02","17,00","53,00","100,00","9,00","0,70","0,11","0,26","1,30","9,80","0,11","0,07","0,84","0,09","0,07","29,00","19,00",,"1.444,00","72,00",,"14,00","859,00",,,"1.650,00","0,02",,,"16,50","0,05","0,03","0,14",,USDA
1202,Sayuran,Kacang polong hijau kalengan tanpa garam padatan yang dikeringkan,"81,70","69,00","4,42","0,35","0,97","12,58","4,10","4,16","20,00","0,95","17,00","67,00","173,00","2,00","0,71","0,08","0,30","1,70","9,60","0,12","0,08","0,73","0,13","0,06","44,00",,,"533,00","27,00",,,"320,00",,,"1.350,00","0,03",,,"21,40","0,06","0,03","0,16",,USDA
1203,Sayuran,Kacang polong hijau matang rebus tiriskan dengan garam,"77,87","84,00","5,36","0,22","0,92","15,63","5,50","5,93","27,00","1,54","39,00","117,00","271,00","239,00","1,19","0,17","0,53","1,90","14,20","0,26","0,15","2,02","0,15","0,22","63,00","30,00",,"801,00","40,00",,"22,00","470,00",,,"2.593,00","0,14",,,"25,90","0,04","0,02","0,10",,USDA
1204,Sayuran,Kacang polong hijau matang rebus tiriskan tanpa garam,"77,87","84,00","5,36","0,22","0,92","15,63","5,50","5,93","27,00","1,54","39,00","117,00","271,00","3,00","1,19","0,17","0,53","1,90","14,20","0,26","0,15","2,02","0,15","0,22","63,00","30,00",,"801,00","40,00",,"22,00","470,00",,,"2.593,00","0,14",,,"25,90","0,04","0,02","0,10",,USDA
1205,Sayuran,Kacang tunggak blackeyes biji belum matang beku dimasak direbus dikeringkan dengan garam,"66,10","131,00","8,49","0,66","1,25","23,50","6,40","4,46","23,00","2,12","50,00","122,00","375,00","241,00","1,42","0,18","0,79","3,40","2,60","0,26","0,06","0,73","0,21","0,10","141,00","46,00",,"75,00","4,00",,,"45,00",,,,"0,30",,,"36,80","0,18","0,06","0,28",,USDA
1206,Sayuran,Kacang tunggak blackeyes biji belum matang beku tidak siap,"64,15","139,00","8,98","0,70","1,05","25,13","5,00",,"26,00","2,35","55,00","122,00","441,00","6,00","1,58","0,21","0,88","3,60","4,00","0,25","0,07","0,81","0,24","0,11","187,00",,,"84,00","4,00",,,,,,,,,,,"0,19","0,06","0,30",,USDA
1207,Sayuran,Kacang tunggak blackeyes biji belum matang dimasak direbus dikeringkan dengan garam,"75,48","94,00","3,17","0,38","1,24","19,73","5,00","3,23","128,00","1,12","52,00","51,00","418,00","240,00","1,03","0,13","0,57","2,50","2,20","0,10","0,15","1,40","0,15","0,07","127,00","33,00",,"791,00","40,00",,,"475,00",,,,"0,22",,,,"0,10","0,03","0,16",,USDA
1208,Sayuran,Kacang tunggak blackeyes biji belum matang dimasak direbus dikeringkan tanpa garam,"75,48","97,00","3,17","0,38","0,65","20,32","5,00","3,23","128,00","1,12","52,00","51,00","418,00","4,00","1,03","0,13","0,57","2,50","2,20","0,10","0,15","1,40","0,15","0,07","127,00","33,00",,"791,00","40,00",,,"475,00",,,,"0,22",,,"26,60","0,10","0,03","0,16",,USDA
1209,Sayuran,Kacang tunggak blackeyes Biji-Bijian dibekukan dimasak direbus dikeringkan tanpa garam,"66,10","132,00","8,49","0,66","0,99","23,76","6,40","4,46","23,00","2,12","50,00","122,00","375,00","5,00","1,42","0,18","0,79","3,40","2,60","0,26","0,06","0,73","0,21","0,10","141,00","46,00",,"75,00","4,00",,,"45,00",,,,"0,30",,,"36,80","0,18","0,06","0,28",,USDA
1210,Sayuran,Kacang tunggak polong muda dengan biji dimasak direbus dikeringkan dengan garam,"89,50","34,00","2,60","0,30","0,60","7,00",,,"55,00","0,70","41,00","49,00","196,00","239,00","0,24","0,07","0,22","0,70","17,00","0,09","0,09","0,80","0,64","0,12","26,00",,,"1.400,00","70,00",,,,,,,,,,,"0,08","0,03","0,13",,USDA
1211,Sayuran,Kacang tunggak polong muda dengan biji dimasak direbus tiriskan tanpa garam,"89,50","34,00","2,60","0,30","0,60","7,00",,,"55,00","0,70","41,00","49,00","196,00","3,00","0,24","0,07","0,22","0,70","17,00","0,09","0,09","0,80","0,64","0,12","26,00",,,"1.400,00","70,00",,,,,,,,,,,"0,08","0,03","0,13",,USDA
1212,Sayuran,Kacang tunggak ujung berdaun dimasak direbus tiriskan dengan garam,"91,30","22,00","4,67","0,10","1,13","2,80",,,"69,00","1,09","62,00","42,00","351,00","242,00","0,24","0,15","0,41","0,90","18,40","0,26","0,14","1,01","0,05","0,14","60,00",,,"576,00","29,00",,,,,,,,,,,"0,03","0,01","0,04",,USDA
1213,Sayuran,Kacang tunggak ujung berdaun dimasak direbus tiriskan tanpa garam,"91,30","22,00","4,67","0,10","1,13","2,80",,,"69,00","1,09","62,00","42,00","351,00","6,00","0,24","0,15","0,41","0,90","18,40","0,26","0,14","1,01","0,05","0,14","60,00",,,"576,00","29,00",,,,,,,,,,,"0,03","0,01","0,04",,USDA
1214,Sayuran,Kailan dimasak,"93,54","22,00","1,14","0,72","0,79","3,81","2,50","0,84","100,00","0,56","18,00","41,00","261,00","7,00","0,39","0,06","0,26","1,30","28,20","0,10","0,15","0,44","0,16","0,07","99,00","25,00",,"1.638,00","82,00",,,"983,00",,,"912,00","0,48",,,"84,80","0,11","0,05","0,33",,USDA
1215,Sayuran,Kale beku dimasak direbus tiriskan dengan garam,"90,50","30,00","2,84","0,49","0,94","5,23","2,00","1,34","138,00","0,94","18,00","28,00","321,00","251,00","0,18","0,05","0,45","0,90","25,20","0,04","0,11","0,67","0,05","0,09","14,00","1,00",,"14.704,00","735,00",,,"8.823,00",,,"19.697,00","0,92",,,"882,00","0,06","0,04","0,24",,USDA
1216,Sayuran,Kale beku dimasak direbus tiriskan tanpa garam,"90,50","30,00","2,84","0,49","0,94","5,23","2,00","1,34","138,00","0,94","18,00","28,00","321,00","15,00","0,18","0,05","0,45","0,90","25,20","0,04","0,11","0,67","0,05","0,09","14,00","1,00",,"14.704,00","735,00",,,"8.823,00",,,"19.697,00","0,92",,,"882,00","0,06","0,04","0,24",,USDA
1217,Sayuran,Kale beku tidak siap,"91,12","28,00","2,66","0,46","0,88","4,90","2,00",,"136,00","0,93","18,00","29,00","333,00","15,00","0,18","0,05","0,44","0,90","39,30","0,06","0,11","0,70","0,05","0,09","17,00",,,"6.253,00","313,00",,,,,,,,,,,"0,06","0,03","0,22",,USDA
1218,Sayuran,Kale dimasak direbus tiriskan dengan garam,"91,20","28,00","1,90","0,40","0,87","5,63","2,00","1,25","72,00","0,90","18,00","28,00","228,00","259,00","0,24","0,16","0,42","0,90","41,00","0,05","0,07","0,50","0,05","0,14","13,00","0,40",,"13.621,00","681,00",,,"8.173,00",,,"18.246,00","0,85",,,,"0,05","0,03","0,19",,USDA
1219,Sayuran,Kale dimasak direbus tiriskan tanpa garam,"91,20","28,00","1,90","0,40","0,87","5,63","2,00","1,25","72,00","0,90","18,00","28,00","228,00","23,00","0,24","0,16","0,42","0,90","41,00","0,05","0,07","0,50","0,05","0,14","13,00","0,40",,"13.621,00","681,00",,,"8.173,00",,,"18.246,00","0,85",,,"817,00","0,05","0,03","0,19",,USDA
1220,Sayuran,Kale scotch dimasak direbus tiriskan dengan garam,"91,20","28,00","1,90","0,41","0,87","5,62",,,"132,00","1,93","57,00","38,00","274,00","281,00","0,24","0,16","0,42","0,90","52,80","0,04","0,04","0,79","0,05","0,14","13,00",,,"1.994,00","100,00",,,,,,,,,,,"0,05","0,03","0,20",,USDA
1221,Sayuran,Kale scotch dimasak direbus tiriskan tanpa garam,"91,20","28,00","1,90","0,41","0,87","5,63","1,20",,"132,00","1,93","57,00","38,00","274,00","45,00","0,24","0,16","0,42","0,90","52,80","0,04","0,04","0,79","0,05","0,14","13,00",,,"1.994,00","100,00",,,,,,,,,,,"0,05","0,03","0,20",,USDA
1222,Sayuran,Kangkung dimasak direbus tiriskan dengan garam,"92,93","20,00","2,08","0,24","1,05","3,70","1,90",,"54,00","1,32","30,00","42,00","284,00","358,00","0,16","0,02","0,14","0,90","16,00","0,05","0,08","0,50","0,13","0,08","35,00",,,"5.200,00","260,00",,,,,,,,,,,,,,,USDA
1223,Sayuran,Kangkung dimasak direbus tiriskan tanpa garam,"92,93","20,00","2,08","0,24","1,05","3,70","1,90",,"54,00","1,32","30,00","42,00","284,00","122,00","0,16","0,02","0,14","0,90","16,00","0,05","0,08","0,50","0,13","0,08","35,00",,,"5.200,00","260,00",,,,,,,,,,,"0,04","0,01","0,10",,USDA
1224,Sayuran,Kanpyo (potongan labu kering),"19,97","258,00","8,58","0,56","5,86","65,03","9,80",,"280,00","5,12","125,00","188,00","1.582,00","15,00","5,86","0,43","1,14","2,60","0,20",,"0,04","2,90","2,55","0,53","61,00",,,,,,,,,,,,,,,"0,05","0,10","0,24",,USDA
1225,Sayuran,Kecambah brussel beku dimasak direbus tiriskan dengan garam,"86,74","42,00","3,64","0,39","0,91","8,32","4,10","2,08","26,00","0,48","18,00","56,00","290,00","259,00","0,24","0,03","0,21","0,60","45,70","0,10","0,11","0,54","0,34","0,29","101,00","18,00",,"926,00","46,00",,,"555,00",,,"1.541,00","0,51",,,"193,50","0,08","0,03","0,20",,USDA
1226,Sayuran,Kecambah brussel beku dimasak direbus tiriskan tanpa garam,"86,74","42,00","3,64","0,39","0,91","8,32","4,10","2,08","26,00","0,48","18,00","56,00","290,00","15,00","0,24","0,03","0,21","0,60","45,70","0,10","0,11","0,54","0,34","0,29","101,00","18,00",,"926,00","46,00",,,"555,00",,,"1.541,00","0,51",,,"193,50","0,08","0,03","0,20",,USDA
1227,Sayuran,Kecambah brussel beku tidak siap,"87,07","41,00","3,78","0,41","0,88","7,86","3,80",,"26,00","0,93","20,00","62,00","370,00","10,00","0,31","0,03","0,31","1,50","74,10","0,11","0,12","0,64","0,29","0,20","123,00",,,"617,00","31,00",,,"370,00",,,,,,,,"0,08","0,03","0,21",,USDA
1228,Sayuran,Kecambah brussel dimasak direbus dikeringkan dengan garam,"88,90","36,00","2,55","0,50","0,95","7,10","2,60","1,74","36,00","1,20","20,00","56,00","317,00","257,00","0,33","0,08","0,23","1,50","62,00","0,11","0,08","0,61","0,25","0,18","60,00","41,00",,"775,00","39,00",,,"465,00",,,"1.290,00","0,43",,,"140,30","0,10","0,04","0,26",,USDA
1229,Sayuran,Kecambah brussel dimasak direbus dikeringkan tanpa garam,"88,90","36,00","2,55","0,50","0,95","7,10","2,60","1,74","36,00","1,20","20,00","56,00","317,00","21,00","0,33","0,08","0,23","1,50","62,00","0,11","0,08","0,61","0,25","0,18","60,00","41,00",,"775,00","39,00",,,"465,00",,,"1.290,00","0,43",,,"140,30","0,10","0,04","0,26",,USDA
1230,Sayuran,Kecipir biji belum matang dimasak direbus tiriskan dengan garam,"90,11","37,00","5,31","0,66","0,71","3,21",,,"61,00","1,09","30,00","25,00","274,00","240,00","0,28","0,04","0,16","1,10","9,80","0,09","0,07","0,65","0,04","0,08","35,00",,,"88,00","4,00",,,,,,,,,,,"0,10","0,24","0,18",,USDA
1231,Sayuran,Kecipir biji belum matang dimasak direbus tiriskan tanpa garam,"90,11","38,00","5,31","0,66","0,71","3,21",,,"61,00","1,09","30,00","25,00","274,00","4,00","0,28","0,04","0,16","1,10","9,80","0,09","0,07","0,65","0,04","0,08","35,00",,,"88,00","4,00",,,,,,,,,,,"0,18","0,19","0,14",,USDA
1232,Sayuran,Kedelai biji matang tumbuh dimasak dikukus,"79,45","81,00","8,47","4,45","1,10","6,53","0,80","0,52","59,00","1,31","60,00","135,00","355,00","10,00","1,04","0,33","0,71","0,60","8,30","0,21","0,05","1,09","0,74","0,11","80,00","41,00",,"40,00","2,00",,"12,00","12,00","12,00",,,"0,21",,,"70,60","0,62","1,01","2,51",,USDA
1233,Sayuran,Kedelai biji matang tumbuh dimasak dikukus dengan garam,"79,45","81,00","8,47","4,45","1,10","6,53","0,80","0,43","59,00","1,31","60,00","135,00","355,00","246,00","1,04","0,33","0,71","0,60","8,30","0,21","0,05","1,09","0,74","0,11","80,00",,,"40,00","2,00",,"12,00","12,00","12,00",,,"0,21",,,"33,00","0,62","1,01","2,51",,USDA
1234,Sayuran,Kedelai biji matang tumbuh dimasak tumis,"67,20","125,00","13,10","7,10","3,20","9,40","0,80",,"82,00","0,40","96,00","216,00","567,00","14,00","2,10","0,53","1,13","0,60","12,00","0,42","0,19","1,10","1,19","0,17","127,00",,,"17,00","1,00",,,,,,,,,,,"0,99","1,61","4,01",,USDA
1235,Sayuran,Kedelai biji matang tumbuh dimasak tumis dengan garam,"67,20","125,00","13,10","7,10","3,20","9,40","0,80",,"82,00","0,40","96,00","216,00","567,00","250,00","2,10","0,53","1,13","0,60","12,00","0,42","0,19","1,10","1,19","0,17","127,00",,,"17,00","1,00",,,,,,,,,,,,,,,USDA
1236,Sayuran,Kedelai hijau matang rebus tiriskan dengan garam,"68,60","141,00","12,35","6,40","1,60","11,05","4,20",,"145,00","2,50","60,00","158,00","539,00","250,00","0,91","0,12","0,50","1,40","17,00","0,26","0,16","1,25","0,13","0,06","111,00",,,"156,00","8,00",,,,,,,,,,,"0,74","1,21","3,01",,USDA
1237,Sayuran,Kedelai hijau matang rebus tiriskan tanpa garam,"68,60","141,00","12,35","6,40","1,60","11,05","4,20",,"145,00","2,50","60,00","158,00","539,00","14,00","0,91","0,12","0,50","1,40","17,00","0,26","0,16","1,25","0,13","0,06","111,00",,,"156,00","8,00",,,,,,,,,,,"0,74","1,21","3,01",,USDA
1238,Sayuran,Kembang kol beku dimasak direbus tiriskan dengan garam,"94,00","17,00","1,61","0,22","1,01","3,16","2,70","0,46","17,00","0,41","9,00","24,00","139,00","254,00","0,13","0,02","0,15","0,60","31,30","0,04","0,05","0,31","0,10","0,09","41,00","34,00",,"10,00",,,,"6,00",,,"24,00","0,06",,,"11,90","0,03","0,02","0,11",,USDA
1239,Sayuran,Kembang kol beku dimasak direbus tiriskan tanpa garam,"94,00","19,00","1,61","0,22","0,42","3,75","2,70","1,05","17,00","0,41","9,00","24,00","139,00","18,00","0,13","0,02","0,15","0,60","31,30","0,04","0,05","0,31","0,10","0,09","41,00","34,00",,"10,00",,,,"6,00",,,"24,00","0,06",,,"11,90","0,03","0,02","0,11",,USDA
1240,Sayuran,Kembang kol beku tidak siap,"92,51","24,00","2,01","0,27","0,53","4,68","2,30","2,22","22,00","0,54","12,00","35,00","193,00","24,00","0,17","0,03","0,20","0,80","48,80","0,05","0,07","0,43","0,14","0,12","64,00","42,00",,"12,00","1,00",,,"7,00",,,"31,00","0,07",,,"14,80","0,04","0,02","0,13",,USDA
1241,Sayuran,Kembang kol dimasak direbus tiriskan dengan garam,"93,00","23,00","1,84","0,45","0,60","4,11","2,30","1,86","16,00","0,32","9,00","32,00","142,00","242,00","0,17","0,02","0,13","0,60","44,30","0,04","0,05","0,41","0,51","0,17","44,00","39,00",,"12,00","1,00",,,"7,00",,,"29,00","0,07",,,"13,80","0,07","0,03","0,22",,USDA
1242,Sayuran,Kembang kol dimasak direbus tiriskan tanpa garam,"93,00","23,00","1,84","0,45","0,60","4,11","2,30","2,08","16,00","0,32","9,00","32,00","142,00","15,00","0,17","0,02","0,13","0,60","44,30","0,04","0,05","0,41","0,51","0,17","44,00","39,00",,"12,00","1,00",,,"7,00",,,"29,00","0,07",,,"13,80","0,07","0,03","0,22",,USDA
1243,Sayuran,Kembang kol hijau dimasak dengan garam,"89,47","32,00","3,04","0,31","0,90","6,28","3,30",,"32,00","0,72","19,00","57,00","278,00","259,00","0,63","0,04","0,24","0,80","72,60","0,07","0,10","0,68","0,68","0,21","41,00",,,"141,00","7,00",,,,,,,,,,,"0,05","0,03","0,14",,USDA
1244,Sayuran,Kembang kol hijau matang tanpa garam,"89,47","32,00","3,04","0,31","0,90","6,28","3,30","3,12","32,00","0,72","19,00","57,00","278,00","23,00","0,63","0,04","0,24","0,80","72,60","0,07","0,10","0,68","0,68","0,21","41,00","59,00",,"144,00","7,00",,,"86,00",,,"39,00","0,04",,,"20,80","0,04","0,03","0,14",,USDA
1245,Sayuran,Kentang au gratin campuran kering disiapkan dengan air susu murni dan mentega,"78,98","93,00","2,30","4,12","1,76","12,84","0,90",,"83,00","0,32","15,00","95,00","219,00","439,00","0,24","0,05","0,13","2,70","3,10","0,02","0,08","0,94","0,24","0,04","7,00",,,"213,00","52,00","49,00",,,,,,,,,,"2,59","1,18","0,13","15,00",USDA
1246,Sayuran,Kentang au gratin campuran kering tidak siap,"4,97","314,00","8,90","3,70","8,12","74,31","4,10",,"311,00","1,63","64,00","404,00","990,00","2.095,00","0,90","0,24","0,59","10,00","15,50","0,07","0,25","4,06","0,92","0,15","40,00",,,"263,00","54,00","49,00",,"60,00",,,,,,,,"2,32","1,06","0,12",,USDA
1247,Sayuran,Kentang au gratin disiapkan sendiri dari resep menggunakan margarin,"74,00","132,00","5,06","7,59","2,09","11,27","1,80",,"119,00","0,64","20,00","113,00","396,00","433,00","0,69","0,16","0,16","2,70","9,90","0,06","0,12","0,99","0,39","0,17","11,00",,,"280,00","64,00","60,00",,"48,00",,,,,,,,"3,53","2,59","1,08","15,00",USDA
1248,Sayuran,Kentang au gratin disiapkan sendiri dari resep menggunakan mentega,"74,00","132,00","5,06","7,59","2,09","11,27","1,80",,"119,00","0,64","20,00","113,00","396,00","433,00","0,69","0,16","0,16","2,70","9,90","0,06","0,12","0,99","0,39","0,17","11,00",,,"264,00","64,00","61,00",,,,,,,,,,"4,73","2,15","0,28","23,00",USDA
1249,Sayuran,Kentang beku goreng Prancis par goreng diekstrusi disiapkan dipanaskan dalam oven tanpa garam,"35,40","333,00","3,55","18,71","2,66","39,68","3,20",,"12,00","1,66","23,00","96,00","539,00","613,00","0,41","0,04","0,29","0,60","6,20","0,08","0,04","2,67","0,61","0,21","22,00",,,,,,,,,,,,,,,"5,96","11,34","1,41",,USDA
1250,Sayuran,Kentang beku goreng Prancis par goreng diekstrusi tidak siap,"49,94","260,00","2,83","14,95","2,13","30,15","2,90",,"9,00","1,32","18,00","77,00","430,00","490,00","0,33","0,03","0,23","0,50","6,30","0,07","0,03","2,24","0,54","0,18","22,00",,,,,,,,,,,,,,,"4,54","8,66","1,07",,USDA
1251,Sayuran,Kentang beku goreng Prancis par goreng potongan pondok disiapkan dipanaskan dalam oven dengan garam,"52,90","218,00","3,44","8,20","1,43","34,03","3,20",,"10,00","1,49","22,00","65,00","480,00","281,00","0,41","0,20","0,30","0,40","9,50","0,12","0,03","2,41","0,69","0,24","17,00",,,,,,,,,,,,,,,"3,89","3,33","0,62",,USDA
1252,Sayuran,Kentang beku utuh matang rebus tiriskan dengan garam,"82,80","63,00","1,98","0,13","1,16","13,93","1,40",,"7,00","0,84","11,00","26,00","287,00","256,00","0,25","0,08","0,19","0,20","9,40","0,10","0,03","1,33","0,28","0,20","8,00",,,,,,,,,,,,,,,"0,03","0,00","0,06",,USDA
1253,Sayuran,Kentang beku utuh matang rebus tiriskan tanpa garam,"82,80","65,00","1,98","0,13","0,57","14,52","1,40",,"7,00","0,84","11,00","26,00","287,00","20,00","0,25","0,08","0,19","0,20","9,40","0,10","0,03","1,33","0,28","0,20","8,00",,,,,,,,,,,,,,,"0,03","0,00","0,06",,USDA
1254,Sayuran,Kentang beku utuh tidak siap,"79,30","78,00","2,38","0,16","0,69","17,47","1,20","0,78","8,00","1,01","13,00","32,00","346,00","25,00","0,30","0,09","0,22","0,30","14,20","0,15","0,03","1,68","0,37","0,26","13,00","12,00",,"2,00",,,,"1,00",,,"8,00","0,01",,,"1,90","0,04","0,00","0,07",,USDA
1255,Sayuran,Kentang berdaging kuning dipanggang garam ditambahkan dalam pemrosesan beku tidak siap,"70,96","119,00","1,99","1,85","1,76","23,44","2,60","0,31","11,00","0,45",,,"444,00","338,00",,,,,"6,00",,,,,,,,,,,,,,,,,,,,,"0,15",,,,USDA
1256,Sayuran,Kentang berdaging kuning hash brown parut garam ditambahkan dalam pemrosesan beku tidak siap,"78,34","81,00","2,04","0,07","1,57","17,98","2,00","0,23","9,00","0,31",,,"398,00","330,00",,,,,"7,80",,,,,,,,,,,,,,,,,,,,,"0,01",,,,USDA
1257,Sayuran,Kentang berdaging kuning Prancis goreng beku tidak siap,"65,04","162,00","2,47","5,84","1,64","25,01","2,20","0,37","9,00","0,48",,,"447,00","300,00",,,,,"10,90",,,,,,,,,,,,,,,,,,,,,"1,43",,,,USDA
1258,Sayuran,Kentang bergigi campuran kering tidak siap,"6,22","358,00","7,77","4,59","7,49","73,93","8,60",,"62,00","2,01","59,00","197,00","905,00","1.578,00","0,92","0,26","0,62","7,90","16,50","0,06","0,12","4,53","1,40","0,18","32,00",,,,,,,,,,,,,,,"1,20","0,10","1,99","5,00",USDA
1259,Sayuran,Kentang bergigi disiapkan di rumah dengan margarin,"80,94","88,00","2,87","3,68","1,73","10,78","1,90",,"57,00","0,57","19,00","63,00","378,00","335,00","0,40","0,16","0,17","1,60","10,60","0,07","0,09","1,05","0,51","0,18","11,00",,,"150,00","33,00","30,00",,"30,00",,,,,,,,"1,38","1,35","0,75","6,00",USDA
1260,Sayuran,Kentang bergigi disiapkan di rumah dengan mentega,"80,94","88,00","2,87","3,68","1,73","10,78","1,90",,"57,00","0,57","19,00","63,00","378,00","335,00","0,40","0,16","0,17","1,60","10,60","0,07","0,09","1,05","0,51","0,18","11,00",,,"135,00",,,,,,,,,,,,"2,26","1,04","0,17","12,00",USDA
1261,Sayuran,Kentang dihaluskan dehidrasi serpihan tanpa susu bentuk kering,"6,58","354,00","8,34","0,41","3,50","81,17","6,60","3,36","27,00","1,21","66,00","156,00","1.098,00","77,00","0,70","0,16","0,16","13,40","81,00","0,99","0,11","6,26","2,08","0,75","46,00","55,00",,"11,00","1,00",,,"6,00",,,"37,00","0,03",,,"8,70","0,17","0,01","0,14",,USDA
1262,Sayuran,Kentang dihaluskan dibuat dari butiran tanpa susu susu murni dan margarin,"77,48","108,00","2,05","4,93","1,14","14,40","2,20",,"35,00","0,19","19,00","60,00","145,00","263,00","0,24","0,02","0,00","0,50","6,00","0,08","0,08","0,76","0,13","0,01","7,00",,,"213,00","44,00","40,00",,"48,00",,,,,,,,"1,28","2,04","1,36","3,00",USDA
